Timestamp,SMDI
2024-06-07,0.0
2024-06-08,0.027522921197628447
2024-06-09,0.05205821003280742
2024-06-10,0.06273201112076365
2024-06-11,0.07634889834752079
2024-06-12,0.0897361892340165
2024-06-13,0.11467313673497548
2024-06-14,0.14802613400611364
2024-06-15,0.17569222314827249
2024-06-16,0.1923463234572772
2024-06-17,0.22609989995677093
2024-06-18,0.2664477596845557
2024-06-19,0.28960439104074087
2024-06-20,0.30034533313652134
2024-06-21,0.32016358836893166
2024-06-22,0.35218596312648187
2024-06-23,0.38783136165673315
2024-06-24,0.43858305517252394
2024-06-25,0.3381159280687803
2024-06-26,0.10386494568762827
2024-06-27,0.23707189563333542
2024-06-28,0.30714589685669946
2024-06-29,0.36395096750719846
2024-06-30,0.3938180295585878
2024-07-01,0.35118732159289945
2024-07-02,0.27869365343803487
2024-07-03,0.15605628489691614
2024-07-04,0.22622014928589673
2024-07-05,0.291607179238773
2024-07-06,0.29494533947506174
2024-07-07,0.28476257447166164
2024-07-08,0.28399433885641
2024-07-09,0.3277239680924483
2024-07-10,0.3588586135118166
2024-07-11,0.435373347989789
2024-07-12,0.514057967579157
2024-07-13,0.5950312103966515
2024-07-14,0.6594689830781313
2024-07-15,0.7229470279451939
2024-07-16,0.7646559503219479
2024-07-17,0.7263897856679493
2024-07-18,0.6777882235586796
2024-07-19,0.7190438901607478
2024-07-20,0.5629466600434325
2024-07-21,0.5741502490194959
2024-07-22,0.6264649679264405
2024-07-23,0.6692633664960776
2024-07-24,0.6206320119138815
2024-07-25,0.646187477059269
2024-07-26,0.7049424434739844
2024-07-27,0.7517167339105003
2024-07-28,0.7828605005761078
2024-07-29,0.8167889999102954
2024-07-30,0.8354370370304474
2024-07-31,0.7232066326458653
2024-08-01,0.8028910271781124
2024-08-02,0.8533540791265026
2024-08-03,0.881876917752751
2024-08-04,0.9102067529674381
2024-08-05,0.948962766324825
2024-08-06,0.9820333287937568
2024-08-07,0.9591585925210658
2024-08-08,0.8039637720909094
2024-08-09,0.8215432741042203
2024-08-10,0.828596210294324
2024-08-11,0.8275964353514448
2024-08-12,0.7274944819285214
2024-08-13,0.6147852391022854
2024-08-14,0.4807131740324476
2024-08-15,0.5637332460949067
2024-08-16,0.6466990224548965
2024-08-17,0.7034266974420367
2024-08-18,0.7579773630307772
2024-08-19,0.7978560992537311
2024-08-20,0.7985212485949122
2024-08-21,0.6738082298295855
2024-08-22,0.7126797429914296
2024-08-23,0.6571935289865873
2024-08-24,0.6662228071578145
2024-08-25,0.733289981462439
2024-08-26,0.7948709150553611
2024-08-27,0.7730839818475435
2024-08-28,0.8008684852752067
2024-08-29,0.8399417452917513
2024-08-30,0.8539846864700895
2024-08-31,0.8779464702014557
2024-09-01,0.8988338002594196
2024-09-02,0.9147675919748343
2024-09-03,0.9310449686225719
2024-09-04,0.9481724562142353
2024-09-05,0.9610260192660236
2024-09-06,0.969857328613535
2024-09-07,0.9731784337385122
2024-09-08,0.9778895304354446
2024-09-09,0.9840821549979569
2024-09-10,0.9924014871748714
2024-09-11,1.0
